body_type,sex,diet,transport_mode,vehicle_type,vehicle_monthly_km,daily_screen_hours,daily_internet_hours,heating_source,energy_efficient,air_travel_frequency,monthly_grocery_bill,waste_bags_per_week,carbon_emission_kg,screen_category
overweight,male,vegan,public,None,24,22,14,natural gas,No,rarely,242,4,2098,High Screen Time (>6h)
underweight,male,omnivore,public,None,1415,7,2,natural gas,No,never,72,7,1823,High Screen Time (>6h)
underweight,male,omnivore,private,hybrid,6119,9,4,electricity,Yes,never,237,6,2085,High Screen Time (>6h)
obese,male,pescatarian,public,None,75,21,14,wood,No,frequently,72,2,2473,High Screen Time (>6h)
obese,female,omnivore,private,petrol,7973,8,14,natural gas,Sometimes,never,290,1,4684,High Screen Time (>6h)
underweight,female,vegan,public,None,1494,13,2,coal,Sometimes,never,192,6,1495,High Screen Time (>6h)
overweight,male,omnivore,private,lpg,1505,3,3,electricity,Yes,frequently,120,3,1761,Low Screen Time (≤6h)
overweight,male,pescatarian,private,lpg,9982,19,4,wood,Yes,very frequently,100,6,5069,High Screen Time (>6h)
overweight,male,vegetarian,walk/bicycle,None,83,7,23,natural gas,Yes,rarely,156,4,1140,High Screen Time (>6h)
normal,female,vegetarian,private,petrol,9146,6,15,natural gas,No,rarely,97,2,4045,Low Screen Time (≤6h)
obese,female,vegetarian,public,None,1966,13,4,electricity,Sometimes,very frequently,164,7,2560,High Screen Time (>6h)
normal,male,omnivore,private,petrol,8453,13,23,electricity,Sometimes,never,109,3,3867,High Screen Time (>6h)
normal,male,vegetarian,public,None,1651,14,23,coal,Sometimes,rarely,190,2,1470,High Screen Time (>6h)
overweight,male,pescatarian,public,None,1990,19,18,electricity,No,frequently,106,3,2341,High Screen Time (>6h)
underweight,male,vegan,private,petrol,7955,12,8,natural gas,Yes,very frequently,185,6,5687,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,43,5,16,electricity,Sometimes,frequently,193,4,2032,Low Screen Time (≤6h)
normal,female,omnivore,private,electric,7676,6,7,coal,No,very frequently,229,3,2499,Low Screen Time (≤6h)
obese,female,pescatarian,walk/bicycle,None,23,22,11,natural gas,No,rarely,263,2,1825,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,86,19,9,coal,No,rarely,72,6,1829,High Screen Time (>6h)
underweight,female,vegetarian,private,lpg,315,6,13,natural gas,Sometimes,never,263,3,866,Low Screen Time (≤6h)
obese,female,omnivore,walk/bicycle,None,25,16,15,natural gas,No,very frequently,95,6,2601,High Screen Time (>6h)
normal,male,vegan,walk/bicycle,None,48,21,12,wood,Yes,very frequently,164,5,2965,High Screen Time (>6h)
underweight,male,vegan,public,None,1945,5,21,wood,Sometimes,never,176,7,1068,Low Screen Time (≤6h)
obese,male,omnivore,private,electric,1299,9,5,coal,Yes,very frequently,215,6,3361,High Screen Time (>6h)
obese,female,pescatarian,public,None,923,5,3,natural gas,Sometimes,very frequently,275,7,3220,Low Screen Time (≤6h)
overweight,female,vegan,public,None,1504,22,0,electricity,Sometimes,very frequently,100,2,2487,High Screen Time (>6h)
overweight,female,omnivore,walk/bicycle,None,29,19,14,wood,Sometimes,frequently,107,2,1536,High Screen Time (>6h)
underweight,male,vegan,private,petrol,5676,8,22,electricity,Yes,very frequently,197,2,4338,High Screen Time (>6h)
obese,male,vegan,walk/bicycle,None,96,23,7,electricity,No,very frequently,169,6,3332,High Screen Time (>6h)
overweight,female,vegan,public,None,1510,18,8,coal,Sometimes,frequently,138,5,1606,High Screen Time (>6h)
obese,male,vegan,walk/bicycle,None,58,6,10,electricity,No,very frequently,147,2,2132,Low Screen Time (≤6h)
underweight,female,vegan,walk/bicycle,None,11,13,13,natural gas,Sometimes,very frequently,112,2,1780,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,60,4,19,wood,No,very frequently,222,5,1730,Low Screen Time (≤6h)
underweight,male,vegan,private,petrol,7968,11,23,coal,Yes,rarely,151,3,4950,High Screen Time (>6h)
obese,male,vegan,private,lpg,3443,23,24,natural gas,Yes,never,94,4,3041,High Screen Time (>6h)
underweight,male,pescatarian,public,None,1150,19,22,electricity,Sometimes,never,286,6,923,High Screen Time (>6h)
overweight,male,omnivore,public,None,54,21,9,coal,No,rarely,119,6,2033,High Screen Time (>6h)
normal,male,omnivore,private,lpg,1239,19,18,natural gas,Sometimes,rarely,64,5,1596,High Screen Time (>6h)
obese,female,vegan,walk/bicycle,None,16,19,5,wood,Sometimes,frequently,130,5,1686,High Screen Time (>6h)
overweight,male,omnivore,public,None,1959,9,8,natural gas,Sometimes,very frequently,66,7,3291,High Screen Time (>6h)
overweight,female,vegan,walk/bicycle,None,62,12,5,wood,Sometimes,rarely,152,3,1133,High Screen Time (>6h)
obese,male,pescatarian,private,electric,7189,17,16,coal,Yes,rarely,211,2,1589,High Screen Time (>6h)
normal,male,omnivore,private,petrol,2165,0,15,electricity,No,rarely,176,4,2572,Low Screen Time (≤6h)
normal,male,omnivore,private,petrol,7063,20,2,wood,Yes,frequently,83,4,4136,High Screen Time (>6h)
obese,male,pescatarian,public,None,1796,6,13,electricity,No,very frequently,146,6,3154,Low Screen Time (≤6h)
normal,female,vegetarian,public,None,1405,12,9,wood,No,frequently,217,5,2086,High Screen Time (>6h)
normal,female,vegetarian,private,electric,6113,18,20,natural gas,Sometimes,very frequently,255,7,1951,High Screen Time (>6h)
normal,male,pescatarian,private,lpg,1430,16,9,electricity,Sometimes,frequently,85,7,2330,High Screen Time (>6h)
obese,female,vegetarian,private,diesel,5157,6,16,coal,No,very frequently,57,2,3842,Low Screen Time (≤6h)
underweight,male,pescatarian,private,hybrid,830,20,23,wood,Sometimes,rarely,243,7,2441,High Screen Time (>6h)
obese,male,vegan,private,diesel,1597,9,22,electricity,Sometimes,very frequently,295,5,3147,High Screen Time (>6h)
underweight,female,vegetarian,public,None,1377,3,1,wood,No,never,267,4,946,Low Screen Time (≤6h)
overweight,female,pescatarian,walk/bicycle,None,43,3,8,natural gas,Sometimes,rarely,138,2,1229,Low Screen Time (≤6h)
overweight,female,vegetarian,private,lpg,7044,15,14,wood,Yes,rarely,215,5,3143,High Screen Time (>6h)
obese,female,pescatarian,private,hybrid,9604,12,5,wood,Yes,very frequently,132,1,3572,High Screen Time (>6h)
underweight,male,pescatarian,public,None,1935,13,16,coal,Sometimes,very frequently,85,5,2869,High Screen Time (>6h)
overweight,female,pescatarian,walk/bicycle,None,26,18,21,electricity,Yes,rarely,271,6,1598,High Screen Time (>6h)
overweight,male,vegetarian,private,electric,9259,13,2,coal,Sometimes,rarely,175,4,1711,High Screen Time (>6h)
normal,female,pescatarian,public,None,659,10,2,natural gas,Yes,very frequently,195,4,1844,High Screen Time (>6h)
overweight,female,vegan,walk/bicycle,None,38,5,10,electricity,Sometimes,frequently,94,1,1444,Low Screen Time (≤6h)
underweight,male,vegan,private,diesel,2883,11,16,coal,No,rarely,73,1,2068,High Screen Time (>6h)
underweight,male,vegan,public,None,352,11,13,wood,No,never,163,2,951,High Screen Time (>6h)
obese,male,pescatarian,walk/bicycle,None,13,15,13,natural gas,Yes,frequently,54,6,2153,High Screen Time (>6h)
underweight,male,omnivore,public,None,1604,24,12,natural gas,No,never,118,3,994,High Screen Time (>6h)
underweight,female,omnivore,private,lpg,1715,24,13,natural gas,Yes,never,112,7,1371,High Screen Time (>6h)
normal,male,vegan,private,electric,465,19,8,coal,Yes,very frequently,116,4,3231,High Screen Time (>6h)
underweight,male,pescatarian,public,None,39,5,22,natural gas,No,frequently,288,3,2356,Low Screen Time (≤6h)
underweight,male,vegan,public,None,893,17,2,wood,Sometimes,never,86,4,1312,High Screen Time (>6h)
overweight,female,omnivore,public,None,1567,13,14,wood,Sometimes,never,245,7,1463,High Screen Time (>6h)
obese,male,omnivore,private,hybrid,9683,18,15,coal,No,frequently,280,7,5176,High Screen Time (>6h)
obese,male,vegetarian,walk/bicycle,None,77,1,8,natural gas,No,very frequently,289,4,3348,Low Screen Time (≤6h)
obese,male,vegetarian,walk/bicycle,None,53,16,4,natural gas,Sometimes,never,285,7,1807,High Screen Time (>6h)
obese,female,vegan,private,petrol,8916,8,1,coal,Sometimes,never,112,4,4640,High Screen Time (>6h)
normal,female,omnivore,public,None,1979,15,19,wood,No,very frequently,89,3,2631,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,6,14,9,natural gas,No,very frequently,283,1,2256,High Screen Time (>6h)
underweight,female,pescatarian,private,lpg,7871,20,13,electricity,Yes,frequently,100,1,2775,High Screen Time (>6h)
obese,female,pescatarian,public,None,779,4,3,electricity,Sometimes,frequently,146,3,1246,Low Screen Time (≤6h)
normal,male,vegetarian,private,hybrid,5846,23,14,coal,No,very frequently,54,1,3610,High Screen Time (>6h)
overweight,male,pescatarian,walk/bicycle,None,28,13,1,coal,Sometimes,frequently,109,1,2548,High Screen Time (>6h)
normal,female,pescatarian,private,lpg,6590,7,23,natural gas,Sometimes,frequently,68,7,3052,High Screen Time (>6h)
overweight,female,omnivore,public,None,1779,23,4,wood,No,frequently,50,6,2363,High Screen Time (>6h)
underweight,male,vegetarian,public,None,867,5,8,natural gas,Yes,frequently,101,6,2399,Low Screen Time (≤6h)
underweight,male,omnivore,private,lpg,7513,19,23,electricity,Sometimes,very frequently,271,7,4580,High Screen Time (>6h)
underweight,female,vegetarian,private,hybrid,5557,22,14,wood,Yes,very frequently,147,6,3258,High Screen Time (>6h)
overweight,male,vegan,private,diesel,5792,1,18,electricity,Yes,never,184,3,3129,Low Screen Time (≤6h)
overweight,male,omnivore,walk/bicycle,None,53,1,1,electricity,No,frequently,72,5,2647,Low Screen Time (≤6h)
normal,female,omnivore,walk/bicycle,None,77,11,21,coal,Sometimes,never,203,2,1356,High Screen Time (>6h)
underweight,male,vegan,private,lpg,1222,5,4,electricity,Yes,frequently,279,3,2130,Low Screen Time (≤6h)
overweight,female,pescatarian,public,None,1251,8,13,wood,Yes,rarely,233,6,1485,High Screen Time (>6h)
normal,male,vegetarian,private,lpg,2363,16,13,coal,Yes,frequently,168,2,2746,High Screen Time (>6h)
overweight,male,vegan,walk/bicycle,None,8,10,9,wood,Yes,very frequently,76,6,3110,High Screen Time (>6h)
overweight,female,vegan,private,hybrid,2740,9,24,natural gas,Sometimes,never,127,3,1381,High Screen Time (>6h)
underweight,female,pescatarian,walk/bicycle,None,61,18,2,wood,Sometimes,never,224,4,1067,High Screen Time (>6h)
obese,female,vegetarian,private,lpg,942,2,0,wood,Yes,frequently,147,1,2147,Low Screen Time (≤6h)
underweight,male,vegan,public,None,1378,4,1,electricity,Sometimes,rarely,295,3,1668,Low Screen Time (≤6h)
obese,female,pescatarian,walk/bicycle,None,87,8,1,natural gas,No,rarely,160,4,1376,High Screen Time (>6h)
normal,male,vegan,walk/bicycle,None,8,23,20,electricity,No,rarely,96,5,1316,High Screen Time (>6h)
obese,female,vegan,public,None,276,11,18,coal,Sometimes,frequently,209,7,2627,High Screen Time (>6h)
normal,male,vegetarian,public,None,1364,24,2,natural gas,Sometimes,very frequently,201,7,3187,High Screen Time (>6h)
overweight,male,omnivore,private,electric,7699,15,4,natural gas,Yes,very frequently,77,2,3038,High Screen Time (>6h)
underweight,male,pescatarian,walk/bicycle,None,69,10,19,natural gas,Yes,never,80,2,1130,High Screen Time (>6h)
underweight,male,pescatarian,private,hybrid,7724,13,23,wood,No,very frequently,161,4,3725,High Screen Time (>6h)
overweight,female,omnivore,public,None,1672,3,5,coal,Yes,never,242,1,1539,Low Screen Time (≤6h)
normal,male,omnivore,public,None,520,13,5,wood,No,rarely,105,4,1597,High Screen Time (>6h)
underweight,female,vegan,private,electric,8406,24,22,electricity,Sometimes,rarely,251,1,606,High Screen Time (>6h)
underweight,male,pescatarian,public,None,691,0,18,coal,Yes,frequently,122,1,1942,Low Screen Time (≤6h)
underweight,male,vegan,walk/bicycle,None,21,16,14,coal,Yes,never,186,4,1208,High Screen Time (>6h)
underweight,male,vegan,public,None,1931,16,6,coal,Yes,very frequently,181,6,2875,High Screen Time (>6h)
overweight,male,pescatarian,private,lpg,8773,17,2,wood,Yes,very frequently,209,6,6093,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,18,22,8,coal,No,frequently,72,5,1953,High Screen Time (>6h)
obese,male,vegetarian,private,diesel,3731,22,14,wood,Sometimes,frequently,268,3,4130,High Screen Time (>6h)
obese,male,vegan,private,electric,8155,13,18,wood,Yes,frequently,74,6,2935,High Screen Time (>6h)
overweight,female,omnivore,public,None,755,21,23,electricity,Yes,rarely,60,1,844,High Screen Time (>6h)
obese,male,vegan,public,None,371,21,24,natural gas,Yes,very frequently,135,1,3365,High Screen Time (>6h)
obese,female,pescatarian,walk/bicycle,None,7,16,22,coal,Yes,rarely,158,2,1931,High Screen Time (>6h)
obese,male,vegan,walk/bicycle,None,51,14,23,natural gas,Sometimes,never,286,4,1785,High Screen Time (>6h)
obese,female,pescatarian,walk/bicycle,None,88,4,5,natural gas,Sometimes,frequently,131,6,2581,Low Screen Time (≤6h)
obese,female,vegan,private,lpg,9425,9,13,electricity,No,never,84,1,3495,High Screen Time (>6h)
overweight,female,pescatarian,walk/bicycle,None,40,17,9,wood,Yes,rarely,110,4,1083,High Screen Time (>6h)
underweight,male,vegan,public,None,1091,7,3,wood,No,very frequently,89,3,2028,High Screen Time (>6h)
normal,male,vegetarian,private,petrol,3150,8,19,wood,Yes,frequently,208,3,3425,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,78,18,4,electricity,No,frequently,228,5,1316,High Screen Time (>6h)
overweight,female,vegetarian,private,diesel,3220,9,1,coal,Sometimes,frequently,189,2,2686,High Screen Time (>6h)
overweight,female,omnivore,private,electric,298,7,11,electricity,Sometimes,rarely,138,1,1009,High Screen Time (>6h)
overweight,male,omnivore,private,diesel,502,14,19,coal,Sometimes,very frequently,68,5,3218,High Screen Time (>6h)
overweight,female,omnivore,public,None,826,15,10,coal,Sometimes,frequently,198,7,2598,High Screen Time (>6h)
underweight,female,pescatarian,walk/bicycle,None,9,11,3,coal,Sometimes,rarely,283,2,1245,High Screen Time (>6h)
normal,male,pescatarian,private,diesel,1743,20,0,electricity,Yes,frequently,135,1,2281,High Screen Time (>6h)
underweight,male,vegetarian,walk/bicycle,None,67,0,2,wood,Yes,rarely,259,1,1096,Low Screen Time (≤6h)
overweight,male,omnivore,walk/bicycle,None,23,5,7,natural gas,Yes,never,267,2,1486,Low Screen Time (≤6h)
normal,female,omnivore,private,diesel,3974,5,17,coal,Yes,frequently,250,7,3482,Low Screen Time (≤6h)
underweight,male,omnivore,private,diesel,3080,6,19,coal,Yes,never,241,6,2542,Low Screen Time (≤6h)
normal,female,omnivore,public,None,1539,15,24,wood,No,rarely,260,5,1688,High Screen Time (>6h)
overweight,male,pescatarian,walk/bicycle,None,16,6,11,natural gas,Sometimes,rarely,91,2,1799,Low Screen Time (≤6h)
normal,female,omnivore,walk/bicycle,None,93,12,6,electricity,Sometimes,frequently,192,3,1461,High Screen Time (>6h)
underweight,male,vegan,public,None,666,1,17,electricity,Sometimes,never,129,4,1278,Low Screen Time (≤6h)
overweight,female,pescatarian,walk/bicycle,None,60,24,1,electricity,Yes,frequently,54,1,1474,High Screen Time (>6h)
obese,female,pescatarian,walk/bicycle,None,88,5,21,natural gas,Yes,frequently,88,4,2465,Low Screen Time (≤6h)
normal,male,vegan,walk/bicycle,None,68,24,23,electricity,No,rarely,87,1,1226,High Screen Time (>6h)
obese,female,vegan,walk/bicycle,None,89,17,16,electricity,Sometimes,never,265,1,1013,High Screen Time (>6h)
overweight,male,omnivore,walk/bicycle,None,97,20,4,electricity,Sometimes,rarely,288,7,1587,High Screen Time (>6h)
underweight,female,omnivore,walk/bicycle,None,42,2,11,electricity,Yes,rarely,218,7,1296,Low Screen Time (≤6h)
normal,female,vegan,walk/bicycle,None,83,2,18,wood,Sometimes,never,299,5,1377,Low Screen Time (≤6h)
underweight,male,vegetarian,walk/bicycle,None,31,8,21,natural gas,Yes,very frequently,54,4,2580,High Screen Time (>6h)
underweight,female,vegan,public,None,1495,0,14,coal,Yes,frequently,247,2,1684,Low Screen Time (≤6h)
overweight,male,omnivore,walk/bicycle,None,67,11,21,electricity,No,never,94,7,1787,High Screen Time (>6h)
overweight,male,vegetarian,walk/bicycle,None,44,1,1,electricity,Sometimes,frequently,188,1,1276,Low Screen Time (≤6h)
obese,male,vegan,public,None,1914,20,10,wood,No,rarely,59,3,1585,High Screen Time (>6h)
obese,male,vegan,private,diesel,4334,14,21,electricity,No,never,102,2,2386,High Screen Time (>6h)
normal,male,omnivore,private,lpg,2352,1,14,electricity,No,rarely,69,6,1991,Low Screen Time (≤6h)
obese,female,vegetarian,private,hybrid,8443,3,21,wood,Sometimes,frequently,54,1,3202,Low Screen Time (≤6h)
obese,male,pescatarian,public,None,571,22,20,natural gas,Yes,rarely,65,7,2005,High Screen Time (>6h)
normal,female,vegetarian,walk/bicycle,None,19,11,12,coal,Yes,frequently,178,2,1808,High Screen Time (>6h)
underweight,female,vegan,private,diesel,9969,24,19,coal,Sometimes,very frequently,65,3,4350,High Screen Time (>6h)
obese,female,vegetarian,private,diesel,9844,13,22,natural gas,Sometimes,frequently,86,5,4570,High Screen Time (>6h)
normal,female,pescatarian,public,None,1158,17,24,coal,Sometimes,frequently,288,5,2078,High Screen Time (>6h)
overweight,male,vegetarian,private,electric,3711,8,16,coal,No,rarely,114,5,1761,High Screen Time (>6h)
overweight,male,omnivore,public,None,1902,2,16,coal,No,very frequently,60,2,3062,Low Screen Time (≤6h)
obese,male,vegetarian,walk/bicycle,None,74,22,20,natural gas,No,never,189,2,1843,High Screen Time (>6h)
normal,male,pescatarian,public,None,449,22,16,coal,No,very frequently,139,3,2927,High Screen Time (>6h)
obese,female,vegan,private,hybrid,4132,20,21,coal,Yes,never,291,1,2309,High Screen Time (>6h)
normal,male,vegan,walk/bicycle,None,35,8,5,wood,No,frequently,253,6,1276,High Screen Time (>6h)
normal,female,vegetarian,private,lpg,9122,2,17,electricity,Yes,frequently,226,1,3542,Low Screen Time (≤6h)
underweight,female,vegan,public,None,124,22,18,natural gas,No,frequently,243,1,1245,High Screen Time (>6h)
underweight,female,pescatarian,public,None,1588,3,21,natural gas,Yes,very frequently,226,3,2123,Low Screen Time (≤6h)
underweight,female,pescatarian,private,lpg,1812,7,3,natural gas,No,frequently,71,4,2070,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,27,14,2,electricity,Yes,never,282,3,1064,High Screen Time (>6h)
obese,female,vegan,public,None,677,23,13,coal,Yes,very frequently,190,2,2945,High Screen Time (>6h)
overweight,male,vegan,private,hybrid,5815,2,4,natural gas,Yes,very frequently,61,2,3261,Low Screen Time (≤6h)
normal,male,vegetarian,walk/bicycle,None,78,21,14,electricity,No,rarely,164,1,1015,High Screen Time (>6h)
normal,male,vegetarian,public,None,407,2,19,electricity,Sometimes,rarely,160,7,1749,Low Screen Time (≤6h)
underweight,female,omnivore,walk/bicycle,None,42,13,17,coal,Yes,very frequently,211,4,2311,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,18,24,22,coal,Sometimes,frequently,130,1,2451,High Screen Time (>6h)
underweight,male,pescatarian,public,None,1105,22,8,natural gas,Yes,frequently,89,5,2086,High Screen Time (>6h)
underweight,male,pescatarian,walk/bicycle,None,21,22,13,coal,No,very frequently,251,6,2752,High Screen Time (>6h)
normal,male,omnivore,walk/bicycle,None,36,8,3,electricity,No,rarely,217,4,1457,High Screen Time (>6h)
underweight,female,omnivore,public,None,1271,21,0,wood,No,frequently,262,4,1523,High Screen Time (>6h)
obese,female,vegan,public,None,1804,17,10,wood,Sometimes,rarely,244,2,1255,High Screen Time (>6h)
overweight,male,pescatarian,private,petrol,6507,15,0,wood,No,never,99,2,4220,High Screen Time (>6h)
normal,female,pescatarian,public,None,830,12,5,wood,Sometimes,very frequently,136,1,2175,High Screen Time (>6h)
obese,female,omnivore,private,hybrid,8951,14,24,electricity,No,very frequently,174,7,5474,High Screen Time (>6h)
normal,male,omnivore,walk/bicycle,None,62,14,4,natural gas,Yes,never,293,7,1993,High Screen Time (>6h)
normal,female,vegetarian,public,None,120,9,12,coal,No,very frequently,74,4,2402,High Screen Time (>6h)
underweight,male,omnivore,private,petrol,2620,4,1,electricity,Sometimes,frequently,93,7,2865,Low Screen Time (≤6h)
obese,female,pescatarian,walk/bicycle,None,95,18,5,wood,No,rarely,166,4,1587,High Screen Time (>6h)
obese,male,omnivore,private,hybrid,6615,5,22,electricity,Yes,frequently,243,5,4178,Low Screen Time (≤6h)
obese,male,vegan,walk/bicycle,None,61,11,22,natural gas,Yes,never,86,3,1792,High Screen Time (>6h)
underweight,female,omnivore,private,petrol,5009,21,16,natural gas,Yes,rarely,255,4,3223,High Screen Time (>6h)
obese,male,pescatarian,private,petrol,7493,10,5,natural gas,No,very frequently,145,1,6438,High Screen Time (>6h)
overweight,female,omnivore,private,hybrid,4045,24,23,electricity,Sometimes,very frequently,104,4,3166,High Screen Time (>6h)
normal,female,vegetarian,walk/bicycle,None,24,0,20,natural gas,Sometimes,never,278,2,1284,Low Screen Time (≤6h)
underweight,female,vegetarian,public,None,1328,19,16,wood,No,frequently,148,1,1493,High Screen Time (>6h)
obese,male,omnivore,public,None,839,16,0,natural gas,No,rarely,216,5,2735,High Screen Time (>6h)
underweight,male,vegetarian,private,petrol,6014,22,17,electricity,No,frequently,126,1,3397,High Screen Time (>6h)
normal,male,pescatarian,public,None,359,14,6,natural gas,Sometimes,very frequently,63,5,2611,High Screen Time (>6h)
underweight,female,vegetarian,public,None,1839,5,5,natural gas,Yes,frequently,150,2,1478,Low Screen Time (≤6h)
overweight,female,omnivore,public,None,929,2,7,wood,No,very frequently,253,7,2917,Low Screen Time (≤6h)
overweight,female,vegan,walk/bicycle,None,61,11,16,coal,No,frequently,212,5,2442,High Screen Time (>6h)
overweight,male,omnivore,private,diesel,9089,5,16,coal,Sometimes,never,79,2,4144,Low Screen Time (≤6h)
overweight,male,vegan,walk/bicycle,None,46,1,2,natural gas,Sometimes,never,181,5,1078,Low Screen Time (≤6h)
overweight,female,vegetarian,public,None,1814,22,15,electricity,Sometimes,never,202,2,1161,High Screen Time (>6h)
overweight,male,pescatarian,public,None,333,3,17,wood,Yes,never,189,6,2363,Low Screen Time (≤6h)
overweight,male,pescatarian,public,None,1389,4,23,electricity,No,never,253,7,1926,Low Screen Time (≤6h)
underweight,male,omnivore,public,None,40,21,14,electricity,Yes,rarely,76,7,1530,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,8,9,24,wood,Sometimes,frequently,128,7,1534,High Screen Time (>6h)
underweight,female,vegan,walk/bicycle,None,39,9,19,coal,Sometimes,rarely,84,7,1325,High Screen Time (>6h)
underweight,male,vegetarian,public,None,1435,23,5,natural gas,Yes,very frequently,171,4,2262,High Screen Time (>6h)
overweight,male,vegetarian,public,None,104,4,6,electricity,Yes,frequently,263,5,2213,Low Screen Time (≤6h)
obese,female,vegan,public,None,1500,20,17,wood,Sometimes,very frequently,241,5,3141,High Screen Time (>6h)
overweight,male,vegetarian,walk/bicycle,None,21,7,7,natural gas,Sometimes,never,261,6,1704,High Screen Time (>6h)
normal,male,vegetarian,walk/bicycle,None,60,11,14,wood,Yes,rarely,126,4,1479,High Screen Time (>6h)
underweight,female,pescatarian,private,electric,1018,17,24,coal,Sometimes,frequently,85,2,1999,High Screen Time (>6h)
overweight,male,pescatarian,walk/bicycle,None,49,8,15,coal,No,frequently,255,1,2534,High Screen Time (>6h)
overweight,male,omnivore,public,None,370,21,24,electricity,Sometimes,never,217,7,2037,High Screen Time (>6h)
underweight,male,omnivore,walk/bicycle,None,91,22,23,electricity,Sometimes,never,218,3,1122,High Screen Time (>6h)
overweight,female,vegan,public,None,1318,0,8,electricity,Yes,very frequently,101,2,1723,Low Screen Time (≤6h)
overweight,male,vegan,private,lpg,9953,18,22,wood,Yes,rarely,109,6,5416,High Screen Time (>6h)
overweight,male,pescatarian,public,None,1311,0,24,natural gas,No,never,282,2,1685,Low Screen Time (≤6h)
obese,male,pescatarian,private,lpg,6415,9,16,natural gas,Yes,very frequently,232,1,5267,High Screen Time (>6h)
normal,male,vegan,walk/bicycle,None,20,20,12,natural gas,Yes,frequently,102,4,1827,High Screen Time (>6h)
underweight,male,pescatarian,private,petrol,6229,13,13,natural gas,No,rarely,82,3,3234,High Screen Time (>6h)
underweight,male,omnivore,public,None,827,1,11,wood,Yes,never,245,7,1433,Low Screen Time (≤6h)
underweight,female,omnivore,private,hybrid,4193,14,11,wood,Yes,frequently,91,4,2263,High Screen Time (>6h)
normal,female,pescatarian,walk/bicycle,None,37,17,14,natural gas,Yes,never,177,3,1433,High Screen Time (>6h)
underweight,male,omnivore,walk/bicycle,None,96,12,8,natural gas,Sometimes,very frequently,74,2,2235,High Screen Time (>6h)
normal,male,vegetarian,walk/bicycle,None,7,23,9,electricity,No,frequently,54,3,1414,High Screen Time (>6h)
normal,male,omnivore,public,None,535,8,8,wood,No,rarely,285,5,2237,High Screen Time (>6h)
obese,female,vegetarian,private,lpg,135,9,6,coal,No,very frequently,252,3,2373,High Screen Time (>6h)
normal,female,pescatarian,private,diesel,3983,22,9,coal,Yes,rarely,151,4,2307,High Screen Time (>6h)
normal,female,pescatarian,private,diesel,8328,12,10,electricity,Sometimes,frequently,156,3,3164,High Screen Time (>6h)
overweight,female,vegetarian,walk/bicycle,None,38,10,20,electricity,Sometimes,never,63,2,692,High Screen Time (>6h)
overweight,female,vegan,private,lpg,8163,2,6,natural gas,No,very frequently,209,2,4615,Low Screen Time (≤6h)
overweight,male,pescatarian,private,electric,2728,24,0,coal,No,never,157,3,2141,High Screen Time (>6h)
underweight,female,omnivore,private,electric,3695,3,11,wood,No,very frequently,275,5,1894,Low Screen Time (≤6h)
normal,female,pescatarian,walk/bicycle,None,83,15,21,electricity,No,never,50,4,930,High Screen Time (>6h)
normal,female,vegetarian,walk/bicycle,None,3,9,14,natural gas,Yes,very frequently,209,6,2645,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,64,10,4,electricity,Sometimes,never,106,7,1364,High Screen Time (>6h)
overweight,female,vegetarian,private,hybrid,7678,17,8,wood,No,very frequently,252,7,3708,High Screen Time (>6h)
overweight,male,vegan,walk/bicycle,None,19,17,8,electricity,Sometimes,frequently,78,5,2336,High Screen Time (>6h)
normal,female,vegan,private,hybrid,3252,20,20,electricity,No,rarely,193,1,1422,High Screen Time (>6h)
normal,male,pescatarian,walk/bicycle,None,60,20,21,electricity,No,frequently,125,6,1797,High Screen Time (>6h)
underweight,female,pescatarian,walk/bicycle,None,71,11,19,electricity,No,very frequently,192,2,2118,High Screen Time (>6h)
obese,male,vegan,private,petrol,3038,9,23,electricity,No,rarely,115,2,2764,High Screen Time (>6h)
underweight,male,pescatarian,walk/bicycle,None,26,20,9,coal,Yes,very frequently,226,7,3678,High Screen Time (>6h)
overweight,male,omnivore,private,lpg,7367,14,3,coal,Yes,very frequently,105,6,5696,High Screen Time (>6h)
normal,male,pescatarian,public,None,52,21,9,electricity,Yes,never,147,1,495,High Screen Time (>6h)
normal,female,omnivore,walk/bicycle,None,17,11,15,coal,Yes,very frequently,152,1,2539,High Screen Time (>6h)
obese,male,pescatarian,private,lpg,6738,2,16,wood,Sometimes,very frequently,295,4,6355,Low Screen Time (≤6h)
normal,female,vegan,walk/bicycle,None,42,11,9,electricity,Sometimes,frequently,184,5,1608,High Screen Time (>6h)
underweight,female,vegetarian,walk/bicycle,None,86,6,15,coal,No,frequently,224,3,1527,Low Screen Time (≤6h)
underweight,female,pescatarian,walk/bicycle,None,23,22,7,natural gas,Sometimes,very frequently,269,4,2398,High Screen Time (>6h)
